symbol,time,close,high,low,open,volume
AMZN R735QTJ8XC9X,2012-01-03 10:00:00,177.24,177.91,175.55,176.35,750355.0
AMZN R735QTJ8XC9X,2012-01-03 11:00:00,177.18,177.8,176.84,177.23,777003.0
AMZN R735QTJ8XC9X,2012-01-03 12:00:00,176.58,177.32,175.8,177.2,652989.0
AMZN R735QTJ8XC9X,2012-01-03 13:00:00,177.23,177.41,176.44,176.57,515865.0
AMZN R735QTJ8XC9X,2012-01-03 14:00:00,177.72,177.84,176.73,177.24,455393.0
AMZN R735QTJ8XC9X,2012-01-03 15:00:00,178.38,178.6,177.52,177.82,629066.0
AMZN R735QTJ8XC9X,2012-01-03 16:00:00,179.03,179.47,178.09,178.35,1152196.0
AMZN R735QTJ8XC9X,2012-01-04 10:00:00,178.74,180.5,178.52,179.21,701322.0
AMZN R735QTJ8XC9X,2012-01-04 11:00:00,176.81,178.84,176.07,178.7,758152.0
AMZN R735QTJ8XC9X,2012-01-04 12:00:00,178.4,178.44,176.81,176.84,544730.0
AMZN R735QTJ8XC9X,2012-01-04 13:00:00,179.39,179.61,177.87,178.39,536754.0
AMZN R735QTJ8XC9X,2012-01-04 14:00:00,178.06,179.43,177.45,179.42,418070.0
AMZN R735QTJ8XC9X,2012-01-04 15:00:00,177.76,178.14,176.37,178.08,548289.0
AMZN R735QTJ8XC9X,2012-01-04 16:00:00,177.51,177.81,177.14,177.8,626405.0
AMZN R735QTJ8XC9X,2012-01-05 10:00:00,175.13,176.34,174.05,175.94,603170.0
AMZN R735QTJ8XC9X,2012-01-05 11:00:00,175.5,176.45,174.67,175.05,600073.0
AMZN R735QTJ8XC9X,2012-01-05 12:00:00,175.91,176.5,174.76,175.45,442390.0
AMZN R735QTJ8XC9X,2012-01-05 13:00:00,175.95,176.33,175.27,175.96,309740.0
AMZN R735QTJ8XC9X,2012-01-05 14:00:00,177.51,177.92,175.72,175.97,493535.0
AMZN R735QTJ8XC9X,2012-01-05 15:00:00,177.43,178.24,177.1,177.51,438219.0
AMZN R735QTJ8XC9X,2012-01-05 16:00:00,177.61,177.78,176.65,177.41,669719.0
AMZN R735QTJ8XC9X,2012-01-06 10:00:00,181.0,181.46,177.5,178.07,920234.0
